STATION_NAME                                           DATE           PRCP      TMAX      TMIN      
BANKHEAD LOCK AND DAM AL US                            20180301       0.15      179.6     127.4     
BANKHEAD LOCK AND DAM AL US                            20180302       0.45      181.4     111.2     
BANKHEAD LOCK AND DAM AL US                            20180303       0.00      181.4     91.4      
BANKHEAD LOCK AND DAM AL US                            20180304       0.00      179.6     91.4      
BANKHEAD LOCK AND DAM AL US                            20180305       0.00      149       96.8      
BANKHEAD LOCK AND DAM AL US                            20180306       1.36      150.8     98.6      
BANKHEAD LOCK AND DAM AL US                            20180307       0.41      129.2     93.2      
BANKHEAD LOCK AND DAM AL US                            20180308       0.00      123.8     84.2      
BANKHEAD LOCK AND DAM AL US                            20180309       0.00      125.6     84.2      
BANKHEAD LOCK AND DAM AL US                            20180310       0.00      145.4     86        
BANKHEAD LOCK AND DAM AL US                            20180311       0.89      158       116.6     
BANKHEAD LOCK AND DAM AL US                            20180312       0.10      158       93.2      
BANKHEAD LOCK AND DAM AL US                            20180313       0.00      136.4     91.4      
BANKHEAD LOCK AND DAM AL US                            20180314       0.00      134.6     87.8      
BANKHEAD LOCK AND DAM AL US                            20180315       0.00      131       93.2      
BANKHEAD LOCK AND DAM AL US                            20180316       0.00      154.4     93.2      
BANKHEAD LOCK AND DAM AL US                            20180317       0.15      147.2     114.8     
BANKHEAD LOCK AND DAM AL US                            20180318       0.00      172.4     136.4     
BANKHEAD LOCK AND DAM AL US                            20180319       0.17      159.8     136.4     
BANKHEAD LOCK AND DAM AL US                            20180320       0.04      168.8     129.2     
BANKHEAD LOCK AND DAM AL US                            20180322       0.00      143.6     93.2      
BANKHEAD LOCK AND DAM AL US                            20180323       0.00      154.4     98.6      
BANKHEAD LOCK AND DAM AL US                            20180324       0.00      170.6     107.6     
BANKHEAD LOCK AND DAM AL US                            20180325       0.01      168.8     131       
BANKHEAD LOCK AND DAM AL US                            20180326       0.00      170.6     120.2     
BANKHEAD LOCK AND DAM AL US                            20180327       0.00      129.2     114.8     
BANKHEAD LOCK AND DAM AL US                            20180328       0.00      156.2     114.8     
BANKHEAD LOCK AND DAM AL US                            20180329       0.00      161.6     129.2     
BANKHEAD LOCK AND DAM AL US                            20180330       0.85      156.2     125.6     
BANKHEAD LOCK AND DAM AL US                            20180331       0.00      165.2     104       
DEMOPOLIS LOCK AND DAM AL US                           20180301       0.00      177.8     114.8     
DEMOPOLIS LOCK AND DAM AL US                           20180302       0.18      165.2     118.4     
DEMOPOLIS LOCK AND DAM AL US                           20180303       0.00      143.6     107.6     
DEMOPOLIS LOCK AND DAM AL US                           20180304       0.00      152.6     100.4     
DEMOPOLIS LOCK AND DAM AL US                           20180305       0.00      156.2     100.4     
DEMOPOLIS LOCK AND DAM AL US                           20180306       0.35      165.2     102.2     
DEMOPOLIS LOCK AND DAM AL US                           20180307       0.56      150.8     122       
DEMOPOLIS LOCK AND DAM AL US                           20180308       0.00      125.6     91.4      
DEMOPOLIS LOCK AND DAM AL US                           20180309       0.00      132.8     87.8      
DEMOPOLIS LOCK AND DAM AL US                           20180310       0.00      152.6     87.8      
DEMOPOLIS LOCK AND DAM AL US                           20180311       0.46      168.8     118.4     
DEMOPOLIS LOCK AND DAM AL US                           20180312       1.67      168.8     114.8     
DEMOPOLIS LOCK AND DAM AL US                           20180313       0.00      136.4     95        
DEMOPOLIS LOCK AND DAM AL US                           20180314       0.00      138.2     93.2      
